id,title,url
LGPL-2.0-or-later,GNU Library General Public License v2 or later,http://spdx.org/licenses/LGPL-2.0-or-later.json
LGPL-2.1,GNU Lesser General Public License v2.1 only,http://spdx.org/licenses/LGPL-2.1.json
LGPL-2.1+,GNU Library General Public License v2.1 or later,http://spdx.org/licenses/LGPL-2.1+.json
LGPL-2.1-only,GNU Lesser General Public License v2.1 only,http://spdx.org/licenses/LGPL-2.1-only.json
LGPL-2.1-or-later,GNU Lesser General Public License v2.1 or later,http://spdx.org/licenses/LGPL-2.1-or-later.json
LGPL-3.0,GNU Lesser General Public License v3.0 only,http://spdx.org/licenses/LGPL-3.0.json
LGPL-3.0+,GNU Lesser General Public License v3.0 or later,http://spdx.org/licenses/LGPL-3.0+.json
LGPL-3.0-only,GNU Lesser General Public License v3.0 only,http://spdx.org/licenses/LGPL-3.0-only.json
LGPL-3.0-or-later,GNU Lesser General Public License v3.0 or later,http://spdx.org/licenses/LGPL-3.0-or-later.json
LGPLLR,Lesser General Public License For Linguistic Resources,http://spdx.org/licenses/LGPLLR.json
LPL-1.0,Lucent Public License Version 1.0,http://spdx.org/licenses/LPL-1.0.json
LPL-1.02,Lucent Public License v1.02,http://spdx.org/licenses/LPL-1.02.json
LPPL-1.0,LaTeX Project Public License v1.0,http://spdx.org/licenses/LPPL-1.0.json
LPPL-1.1,LaTeX Project Public License v1.1,http://spdx.org/licenses/LPPL-1.1.json
LPPL-1.2,LaTeX Project Public License v1.2,http://spdx.org/licenses/LPPL-1.2.json
LPPL-1.3a,LaTeX Project Public License v1.3a,http://spdx.org/licenses/LPPL-1.3a.json
LPPL-1.3c,LaTeX Project Public License v1.3c,http://spdx.org/licenses/LPPL-1.3c.json
Latex2e,Latex2e License,http://spdx.org/licenses/Latex2e.json
Leptonica,Leptonica License,http://spdx.org/licenses/Leptonica.json
LiLiQ-P-1.1,Licence Libre du Québec – Permissive version 1.1,http://spdx.org/licenses/LiLiQ-P-1.1.json
LiLiQ-R-1.1,Licence Libre du Québec – Réciprocité version 1.1,http://spdx.org/licenses/LiLiQ-R-1.1.json
LiLiQ-Rplus-1.1,Licence Libre du Québec – Réciprocité forte version 1.1,http://spdx.org/licenses/LiLiQ-Rplus-1.1.json
Libpng,libpng License,http://spdx.org/licenses/Libpng.json
Linux-OpenIB,Linux Kernel Variant of OpenIB.org license,http://spdx.org/licenses/Linux-OpenIB.json
MIT,MIT License,http://spdx.org/licenses/MIT.json
MIT-0,MIT No Attribution,http://spdx.org/licenses/MIT-0.json
MIT-CMU,CMU License,http://spdx.org/licenses/MIT-CMU.json
MIT-advertising,Enlightenment License (e16),http://spdx.org/licenses/MIT-advertising.json
MIT-enna,enna License,http://spdx.org/licenses/MIT-enna.json
MIT-feh,feh License,http://spdx.org/licenses/MIT-feh.json
MIT-open-group,MIT Open Group variant,http://spdx.org/licenses/MIT-open-group.json
MITNFA,MIT +no-false-attribs license,http://spdx.org/licenses/MITNFA.json
MPL-1.0,Mozilla Public License 1.0,http://spdx.org/licenses/MPL-1.0.json
MPL-1.1,Mozilla Public License 1.1,http://spdx.org/licenses/MPL-1.1.json
MPL-2.0,Mozilla Public License 2.0,http://spdx.org/licenses/MPL-2.0.json
MPL-2.0-no-copyleft-exception,Mozilla Public License 2.0 (no copyleft exception),http://spdx.org/licenses/MPL-2.0-no-copyleft-exception.json
MS-PL,Microsoft Public License,http://spdx.org/licenses/MS-PL.json
MS-RL,Microsoft Reciprocal License,http://spdx.org/licenses/MS-RL.json
MTLL,Matrix Template Library License,http://spdx.org/licenses/MTLL.json
MakeIndex,MakeIndex License,http://spdx.org/licenses/MakeIndex.json
MirOS,The MirOS Licence,http://spdx.org/licenses/MirOS.json
Motosoto,Motosoto License,http://spdx.org/licenses/Motosoto.json
MulanPSL-1.0,"Mulan Permissive Software License, Version 1",http://spdx.org/licenses/MulanPSL-1.0.json
MulanPSL-2.0,"Mulan Permissive Software License, Version 2",http://spdx.org/licenses/MulanPSL-2.0.json
Multics,Multics License,http://spdx.org/licenses/Multics.json
Mup,Mup License,http://spdx.org/licenses/Mup.json
NASA-1.3,NASA Open Source Agreement 1.3,http://spdx.org/licenses/NASA-1.3.json
NBPL-1.0,Net Boolean Public License v1,http://spdx.org/licenses/NBPL-1.0.json
NCGL-UK-2.0,Non-Commercial Government Licence,http://spdx.org/licenses/NCGL-UK-2.0.json
NCSA,University of Illinois/NCSA Open Source License,http://spdx.org/licenses/NCSA.json
NGPL,Nethack General Public License,http://spdx.org/licenses/NGPL.json
NIST-PD,NIST Public Domain Notice,http://spdx.org/licenses/NIST-PD.json
NIST-PD-fallback,NIST Public Domain Notice with license fallback,http://spdx.org/licenses/NIST-PD-fallback.json
NLOD-1.0,Norwegian Licence for Open Government Data,http://spdx.org/licenses/NLOD-1.0.json
